method,attack,intensity,mean_nc,self_check
PC-Reversible26,rotation,30,0.5141450059059227,fail
PC-Reversible26,rotation,60,0.5403473519935528,fail
PC-Reversible26,rotation,90,0.5372092632156599,fail
PC-Reversible26,rotation,120,0.509790704404966,fail
PC-Reversible26,rotation,180,0.5374297884054107,fail
Nan25-Curvature,rotation,30,0.5605494603603461,pass
Nan25-Curvature,rotation,60,0.5627520114047314,pass
Nan25-Curvature,rotation,90,0.5647754918700896,pass
Nan25-Curvature,rotation,120,0.5770509439848402,pass
Nan25-Curvature,rotation,180,0.5418132649458187,pass
Nan25-ZW,rotation,30,0.6673177083333334,pass
Nan25-ZW,rotation,60,0.6477864583333334,pass
Nan25-ZW,rotation,90,0.6920572916666666,pass
Nan25-ZW,rotation,120,0.640625,pass
Nan25-ZW,rotation,180,0.6653645833333334,pass
Jiao23-Dual,rotation,30,0.48415892213140527,fail
Jiao23-Dual,rotation,60,0.4942144504947981,fail
Jiao23-Dual,rotation,90,0.5014230514513183,fail
Jiao23-Dual,rotation,120,0.506444812550611,fail
Jiao23-Dual,rotation,180,0.48340244927202053,fail
Qiu19-RI,rotation,30,0.4906491182821573,pass
Qiu19-RI,rotation,60,0.5331925787591619,pass
Qiu19-RI,rotation,90,0.5051097027632909,pass
Qiu19-RI,rotation,120,0.5014907014460986,pass
Qiu19-RI,rotation,180,0.5235104089100611,pass
Ours,rotation,30,0.8598225712776184,pass
Ours,rotation,60,0.8224284052848816,pass
Ours,rotation,90,0.8494059443473816,pass
Ours,rotation,120,0.8392741084098816,pass
Ours,rotation,180,0.79638671875,pass
PC-Reversible26,scale,0.5,0.650643323907262,fail
PC-Reversible26,scale,0.7,0.6588971180107782,fail
PC-Reversible26,scale,1.5,0.6552595514687265,fail
PC-Reversible26,scale,2.0,0.650643323907262,fail
Nan25-Curvature,scale,0.5,0.6665727404281062,pass
Nan25-Curvature,scale,0.7,0.6690372026008191,pass
Nan25-Curvature,scale,1.5,0.6716624088242261,pass
Nan25-Curvature,scale,2.0,0.6665727404281062,pass
Nan25-ZW,scale,0.5,0.6822916666666666,pass
Nan25-ZW,scale,0.7,0.65234375,pass
Nan25-ZW,scale,1.5,0.6673177083333334,pass
Nan25-ZW,scale,2.0,0.6822916666666666,pass
Jiao23-Dual,scale,0.5,0.49282535490802576,fail
Jiao23-Dual,scale,0.7,0.49282535490802576,fail
Jiao23-Dual,scale,1.5,0.49282535490802576,fail
Jiao23-Dual,scale,2.0,0.49282535490802576,fail
Qiu19-RI,scale,0.5,0.514182529729823,pass
Qiu19-RI,scale,0.7,0.514182529729823,pass
Qiu19-RI,scale,1.5,0.514182529729823,pass
Qiu19-RI,scale,2.0,0.514182529729823,pass
Ours,scale,0.5,0.8866780400276184,pass
Ours,scale,0.7,0.8866780400276184,pass
Ours,scale,1.5,0.8866780400276184,pass
Ours,scale,2.0,0.8866780400276184,pass
PC-Reversible26,noise,0.001,0.5253922153064022,fail
PC-Reversible26,noise,0.003,0.49236780261735325,fail
PC-Reversible26,noise,0.005,0.5002645583799546,fail
PC-Reversible26,noise,0.01,0.49790591359206365,fail
PC-Reversible26,noise,0.02,0.49304281420483725,fail
Nan25-Curvature,noise,0.001,0.5579030732853355,pass
Nan25-Curvature,noise,0.003,0.49096784366266816,pass
Nan25-Curvature,noise,0.005,0.5016447367639285,pass
Nan25-Curvature,noise,0.01,0.4887981179281636,pass
Nan25-Curvature,noise,0.02,0.4954193907749649,pass
Nan25-ZW,noise,0.001,0.6354166666666666,pass
Nan25-ZW,noise,0.003,0.5970052083333334,pass
Nan25-ZW,noise,0.005,0.5865885416666666,pass
Nan25-ZW,noise,0.01,0.576171875,pass
Nan25-ZW,noise,0.02,0.5677083333333334,pass
Jiao23-Dual,noise,0.001,0.5142542513755718,fail
Jiao23-Dual,noise,0.003,0.4987914946779119,fail
Jiao23-Dual,noise,0.005,0.5166924113496458,fail
Jiao23-Dual,noise,0.01,0.49923261441501965,fail
