attack,intensity,mean_nc,q05_nc,auc,eer
rotation,30,0.8694661259651184,0.6094726324081421,1.0,0.0
rotation,60,0.82177734375,0.641650378704071,1.0,0.0
rotation,90,0.8231608271598816,0.6484375,1.0,0.0
rotation,120,0.8338215947151184,0.618896484375,1.0,0.0
rotation,180,0.8578694462776184,0.7103027105331421,1.0,0.0
scale,0.5,0.9406331181526184,0.804443359375,1.0,0.0
scale,0.7,0.9406331181526184,0.804443359375,1.0,0.0
scale,1.5,0.9406331181526184,0.804443359375,1.0,0.0
scale,2.0,0.9406331181526184,0.804443359375,1.0,0.0
noise,0.001,0.9369710087776184,0.806640625,1.0,0.0
noise,0.003,0.9441325068473816,0.7947753667831421,1.0,0.0
noise,0.005,0.9334309697151184,0.8004394769668579,1.0,0.0
noise,0.01,0.9425862431526184,0.800830066204071,1.0,0.0
noise,0.02,0.9142252802848816,0.794726550579071,1.0,0.0
quantization,0.001,0.9407551884651184,0.8040527105331421,1.0,0.0
quantization,0.003,0.936279296875,0.803027331829071,1.0,0.0
quantization,0.005,0.9341227412223816,0.7962402105331421,1.0,0.0
quantization,0.01,0.9325358271598816,0.8042968511581421,1.0,0.0
quantization,0.02,0.9403889775276184,0.808642566204071,1.0,0.0
point_delete,0.1,0.8961181640625,0.739013671875,1.0,0.0
point_delete,0.2,0.8994140625,0.77783203125,1.0,0.0
point_delete,0.4,0.8840739130973816,0.7774902582168579,1.0,0.0
point_delete,0.6,0.8467610478401184,0.6546875238418579,1.0,0.0
point_delete,0.8,0.7876383662223816,0.569628894329071,1.0,0.0
crop,0.1,0.7486165165901184,0.571044921875,1.0,0.0
crop,0.2,0.7707112431526184,0.59375,0.9836201690821257,0.03894927536231882
crop,0.4,0.7663167119026184,0.532763659954071,0.9996225845410628,0.005434782608695652
crop,0.6,0.7419026494026184,0.516064465045929,0.9559178743961352,0.051630434782608675
crop,0.8,0.7215576171875,0.42387694120407104,0.8920591787439612,0.12771739130434784
simplify,0.1,0.8961181640625,0.739013671875,1.0,0.0
simplify,0.2,0.8994140625,0.77783203125,1.0,0.0
simplify,0.4,0.8840739130973816,0.7774902582168579,1.0,0.0
simplify,0.6,0.8467610478401184,0.6546875238418579,1.0,0.0
simplify,0.8,0.7876383662223816,0.569628894329071,1.0,0.0
outliers,0.01,0.6537272334098816,0.47368162870407104,0.9350845410628019,0.07971014492753625
outliers,0.03,0.654052734375,0.4825683534145355,0.9276117149758454,0.12771739130434784
outliers,0.05,0.6689046025276184,0.5477539300918579,0.9591636473429952,0.03894927536231882
outliers,0.1,0.7331950068473816,0.6031249761581421,1.0,0.0
outliers,0.2,0.6709391474723816,0.515869140625,0.9848278985507246,0.03894927536231882
sequential,0.1,0.8693034052848816,0.6483398675918579,1.0,0.0
sequential,0.2,0.8756917119026184,0.638232409954071,1.0,0.0
sequential,0.4,0.85205078125,0.6461426019668579,0.9806763285024155,0.03894927536231882
sequential,0.6,0.8266194462776184,0.6487792730331421,0.9942632850241546,0.03894927536231882
sequential,0.8,0.743896484375,0.5152343511581421,0.9773550724637682,0.04619565217391303
