variant,attack,intensity,mean,q05,auc,eer,semantic_ratio,coordinate_ratio,tar_at_far5,tar_at_far1
Base,object_delete,0.05,0.9129180908203125,0.832177734375,0.9948614211309523,0.03149801587301587,0.9187426570873319,0.9308666451982709,0.953125,0.953125
Base,object_delete,0.1,0.8782501220703125,0.742822265625,0.9851461743551587,0.06225198412698413,0.8292929046268586,0.8503485500148056,0.875,0.875
Base,object_delete,0.2,0.805877685546875,0.639306640625,0.9319816468253969,0.15203373015873017,0.6451507697493791,0.6779489781015271,0.578125,0.546875
Base,object_delete,0.3,0.7384033203125,0.515771484375,0.8595183841765873,0.19122023809523808,0.4303238855331095,0.4689029969566691,0.296875,0.25
Base,object_delete,0.4,0.7024993896484375,0.506982421875,0.7994481646825397,0.2632688492063492,0.31933665404631384,0.35295113061950534,0.15625,0.140625
Base,object_delete,0.5,0.6859130859375,0.4767578125,0.7694266183035714,0.2655009920634921,0.23832233894271973,0.27007997541883144,0.078125,0.078125
Base,object_delete,0.6,0.630340576171875,0.441357421875,0.6519368489583334,0.3792162698412699,0.16671210022937505,0.19886243869915815,0.03125,0.015625
Base,object_delete,0.7,0.6027069091796875,0.415478515625,0.5813995845734127,0.44072420634920634,0.1068232767304201,0.12729001113146612,0.015625,0.015625
Base,object_delete,0.8,0.45263671875,0.0,0.38520352802579366,0.5597718253968254,0.043130154965117365,0.060114025411386475,0.0,0.0
Base,building_delete,0.1,0.8982696533203125,0.6576660156249999,0.9747217571924603,0.09722222222222222,0.8736052582757571,0.8740789744577266,0.859375,0.859375
Base,building_delete,0.2,0.83251953125,0.6311523437500001,0.9546712239583334,0.12103174603174603,0.7384664096254107,0.7416370629509254,0.625,0.578125
Base,building_delete,0.4,0.781707763671875,0.58720703125,0.9106987847222222,0.17175099206349206,0.6200193376820656,0.6248562708553731,0.5,0.4375
Base,building_delete,0.6,0.67938232421875,0.458251953125,0.7364327566964286,0.3132440476190476,0.3715438538002049,0.3866924749646607,0.15625,0.125
Base,building_delete,0.8,0.62762451171875,0.44091796875,0.6284450954861112,0.3947172619047619,0.24020551922458416,0.24990009455644877,0.0,0.0
Base,surface_delete,0.1,0.910125732421875,0.83984375,0.9983181423611112,0.015749007936507936,0.913213684290898,0.9235543232796427,0.984375,0.984375
Base,surface_delete,0.2,0.8661956787109375,0.751513671875,0.9897538442460317,0.062003968253968256,0.820156847567799,0.843683421799713,0.90625,0.859375
Base,surface_delete,0.4,0.8017578125,0.67314453125,0.9540356832837301,0.12276785714285715,0.6394001175014663,0.7053756212499798,0.5,0.484375
Base,surface_delete,0.6,0.742828369140625,0.57705078125,0.8825799851190477,0.1840277777777778,0.4649232145596585,0.5630364854380938,0.234375,0.21875
