variant,attack,intensity,tar_far5,tar_far1
base,rotation_z,180.0,1.0,1.0
base,attribute_delete,0.8,1.0,1.0
base,coordinate_noise,0.005,0.921875,0.921875
base,object_delete,0.05,0.96875,0.96875
base,object_delete,0.4,0.15625,0.140625
base,building_delete,0.1,0.890625,0.890625
base,building_delete,0.4,0.546875,0.5
base,surface_delete,0.1,0.984375,0.96875
base,surface_delete,0.4,0.625,0.59375
base,hierarchy_flatten,0.4,0.8125,0.734375
base,semantic_relabel,0.2,1.0,1.0
base,cityjson_roundtrip,1.0,0.296875,0.296875
base,lod2_to_lod1,1.0,0.0,0.0
projection,rotation_z,180.0,1.0,1.0
projection,attribute_delete,0.8,1.0,1.0
projection,coordinate_noise,0.005,0.921875,0.921875
projection,object_delete,0.05,0.9375,0.9375
projection,object_delete,0.4,0.109375,0.109375
projection,building_delete,0.1,0.875,0.875
projection,building_delete,0.4,0.4375,0.421875
projection,surface_delete,0.1,0.96875,0.96875
projection,surface_delete,0.4,0.515625,0.515625
projection,hierarchy_flatten,0.4,0.640625,0.640625
projection,semantic_relabel,0.2,1.0,1.0
projection,cityjson_roundtrip,1.0,0.28125,0.28125
projection,lod2_to_lod1,1.0,0.0,0.0
finetune,rotation_z,180.0,1.0,1.0
finetune,attribute_delete,0.8,1.0,1.0
finetune,coordinate_noise,0.005,0.953125,0.953125
finetune,object_delete,0.05,0.9375,0.9375
finetune,object_delete,0.4,0.140625,0.140625
finetune,building_delete,0.1,0.890625,0.890625
finetune,building_delete,0.4,0.515625,0.484375
finetune,surface_delete,0.1,0.96875,0.96875
finetune,surface_delete,0.4,0.546875,0.53125
finetune,hierarchy_flatten,0.4,0.75,0.734375
finetune,semantic_relabel,0.2,1.0,1.0
finetune,cityjson_roundtrip,1.0,0.328125,0.328125
finetune,lod2_to_lod1,1.0,0.0,0.0
