id,group,label,parameters,litegeo_parameter_ratio,auc_mean,eer_mean,tar_far5_open_mean,negative_q95,negative_max,open_far5_threshold
rgcn_g8d,reference,"R-GCN, G8+D",234849,2.673082395255927,0.9096864507020757,0.1298840048840049,0.7115384615384616,0.739501953125,0.84375,0.7861328125000001
gcn,encoder,"GCN, G8+D",161121,1.833900542927712,0.9098378834706959,0.12053571428571429,0.5985576923076923,0.745361328125,0.896484375,0.8574218750000001
graphsage,encoder,"GraphSAGE, G8+D",179553,2.0436960060097658,0.9067967080662392,0.12250076312576313,0.6454326923076923,0.703125,0.8857421875,0.8046875000000001
gat,encoder,"GAT, G8+D",179937,2.0480667448239753,0.9087218120421245,0.12208104395604395,0.6911057692307693,0.7314453125,0.8623046875,0.7968750000000001
relgat,encoder,"Relation-aware GAT, G8+D",180897,2.058993591859499,0.8918176821008852,0.1388221153846154,0.5396634615384616,0.728759765625,0.8984375,0.8496093750000001
rgcn_h64_e192,compression,"R-GCN 64/192, G8+D",117057,1.3323582639971772,0.8929006648733211,0.1338045634920635,0.7079326923076923,0.732177734375,0.87890625,0.7929687500000001
rgcn_h64_e128,compression,"R-GCN 64/128, G8+D",84033,0.9564747259751641,0.8864889179830586,0.1396710927960928,0.5036057692307693,0.7255859375,0.8544921875,0.8730468750000001
complexity,feature,"R-GCN, G8+D+C",235137,2.6763604493665842,0.9080242673992674,0.13307959401709402,0.6262019230769231,0.79296875,0.908203125,0.8593750000000001
scale,feature,"R-GCN, G8+D+C+S",235617,2.681823872884346,0.906637226705586,0.13528311965811965,0.6814903846153846,0.806884765625,0.9462890625,0.8320312500000001
frequency,feature,"R-GCN, G8+D+C+S+F",236001,2.686194611698556,0.9203296703296703,0.11490766178266179,0.6237980769230769,0.76953125,0.8994140625,0.8339843750000001
